Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0634240,2014-11-08,2014-11-08,,Christopher Nolan,Tenet,1970-07-30
2,nm0386246,2014-11-08,2014-11-08,,Rajkumar Hirani,PK,1962-11-20
3,nm0594503,2014-11-08,2014-11-08,,Hayao Miyazaki,Sen to Chihiro no kamikakushi,1941-01-05
4,nm1410815,2014-11-11,2014-11-11,,Asghar Farhadi,Forushande,1972-05-07
5,nm0001466,2014-11-08,2014-11-08,,Sergio Leone,Once Upon a Time in America,1929-01-03
6,nm0000399,2014-11-08,2014-11-08,,David Fincher,Se7en,1962-08-28
7,nm0001104,2014-11-08,2014-11-08,,Frank Darabont,The Shawshank Redemption,1959-01-28
8,nm0000233,2014-11-08,2014-11-08,,Quentin Tarantino,Reservoir Dogs,1963-03-27
9,nm0001437,2014-11-08,2014-11-08,,Emir Kusturica,Underground,1954-11-24
10,nm0905152,2014-11-08,2014-11-08,,Lilly Wachowski,The Matrix,1967-12-29
11,nm0905154,2014-12-25,2014-12-25,,Lana Wachowski,The Matrix,1965-06-21
12,nm0898288,2014-11-11,2014-11-11,,Denis Villeneuve,Dune: Part One,1967-10-03
13,nm0001392,2014-11-08,2014-11-08,,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
14,nm0000040,2014-11-11,2014-11-11,,Stanley Kubrick,2001: A Space Odyssey,1928-07-26
15,nm0000122,2015-01-20,2015-01-20,,Charles Chaplin,The Great Dictator,1889-04-16
16,nm2588606,2014-11-12,2014-11-12,,Steve McQueen,12 Years a Slave,1969-10-09
17,nm1962192,2017-09-11,2017-09-11,,Upendra,Upendra,1967-09-18
18,nm0005222,2014-11-08,2014-11-08,,Sam Mendes,1917,1965-08-01
19,nm0000217,2014-11-08,2014-11-08,,Martin Scorsese,Taxi Driver,1942-11-17
20,nm0004716,2014-11-08,2014-11-08,,Darren Aronofsky,Pi,1969-02-12
21,nm0001232,2014-11-08,2014-11-08,,Milos Forman,One Flew Over the Cuckoo's Nest,1932-02-18
22,nm0005069,2014-11-12,2014-11-12,,Spike Jonze,Her,1969-10-22
23,nm0000186,2014-11-08,2014-11-08,,David Lynch,Twin Peaks,1946-01-20
24,nm0000229,2014-11-08,2014-11-08,,Steven Spielberg,Schindler's List,1946-12-18
25,nm0000033,2014-11-11,2014-11-11,,Alfred Hitchcock,Psycho,1899-08-13
26,nm0000184,2014-11-08,2014-11-08,,George Lucas,Star Wars,1944-05-14
27,nm0000005,2015-03-11,2015-03-11,,Ingmar Bergman,Persona,1918-07-14
28,nm0000019,2015-02-02,2015-02-02,,Federico Fellini,Le notti di Cabiria,1920-01-20
29,nm0000116,2014-11-08,2014-11-08,,James Cameron,Avatar,1954-08-16
30,nm0000965,2014-11-08,2014-11-08,,Danny Boyle,127 Hours,1956-10-20
31,nm0000591,2014-11-08,2014-11-08,,Roman Polanski,Chinatown,1933-08-18
32,nm0001053,2014-11-08,2014-11-08,,Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
33,nm0000759,2014-12-15,2014-12-15,,Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
34,nm0000709,2014-11-08,2014-11-08,,Robert Zemeckis,Back to the Future,1952-05-14
35,nm0877078,2014-11-11,2014-11-11,,Yavuz Turgul,Eskiya,1946-04-05
36,nm0327944,2014-11-11,2014-11-11,,Alejandro G. Iñárritu,Biutiful,1963-08-15
37,nm0348181,2014-11-08,2014-11-08,,James Gunn,Guardians of the Galaxy,1966-08-05
38,nm0811583,2014-11-08,2014-11-08,,Zack Snyder,300,1966-03-01
39,nm0000318,2014-11-08,2014-11-08,,Tim Burton,Edward Scissorhands,1958-08-25
40,nm0000500,2014-11-08,2014-11-08,,Richard Linklater,Waking Life,1960-07-30
41,nm0003506,2014-11-08,2014-11-08,,James Mangold,Logan,1963-12-16
42,nm0000631,2014-11-08,2014-11-08,,Ridley Scott,The Martian,1937-11-30
43,nm0868219,2014-11-08,2014-11-08,,Guillermo del Toro,El laberinto del fauno,1964-10-09
44,nm0005363,2014-11-08,2014-11-08,,Guy Ritchie,Sherlock Holmes,1968-09-10
45,nm1349376,2014-11-14,2014-11-14,,Francis Lawrence,The Hunger Games: Catching Fire,1971-03-26
46,nm0923736,2014-11-12,2014-11-12,,Joss Whedon,Buffy the Vampire Slayer,1964-06-23
47,nm0000041,2015-06-22,2015-06-22,,Akira Kurosawa,Kakushi-toride no san-akunin,1910-03-23
48,nm0001741,2014-11-08,2014-11-08,,Bryan Singer,X-Men,1965-09-17
49,nm0006249,2015-05-24,2015-05-24,,Satyajit Ray,Pather Panchali,1921-05-02
50,nm0000905,2014-11-08,2014-11-08,,Roberto Benigni,La vita è bella,1952-10-27
